,year,counry,metabolite,daily mean,weekday mean,weekend mean
0,2011,AT,amphetamine,,,
1,2011,AT,methamphetamine,,,
2,2011,AT,MDMA,,,
3,2011,AT,cannabis,,,
4,2011,AT,cocaine,,,
5,2012,AT,amphetamine,,,
6,2012,AT,methamphetamine,,,
7,2012,AT,MDMA,,,
8,2012,AT,cannabis,,,
9,2012,AT,cocaine,,,
10,2013,AT,amphetamine,,,
11,2013,AT,methamphetamine,,,
12,2013,AT,MDMA,,,
13,2013,AT,cannabis,,,
14,2013,AT,cocaine,,,
15,2014,AT,amphetamine,,,
16,2014,AT,methamphetamine,,,
17,2014,AT,MDMA,,,
18,2014,AT,cannabis,,,
19,2014,AT,cocaine,,,
20,2015,AT,amphetamine,0.0,0.0,0.0
21,2015,AT,methamphetamine,0.0,0.0,0.0
22,2015,AT,MDMA,13.88,12.29,15.07
23,2015,AT,cannabis,,,
24,2015,AT,cocaine,83.39,66.35,96.16
25,2016,AT,amphetamine,12.45,8.7,15.26
26,2016,AT,methamphetamine,2.01,1.93,2.07
27,2016,AT,MDMA,21.73,11.83,29.15
28,2016,AT,cannabis,,,
29,2016,AT,cocaine,161.96,127.75,187.62
30,2017,AT,amphetamine,14.82,11.4,17.38
31,2017,AT,methamphetamine,2.86,2.32,3.27
32,2017,AT,MDMA,20.91,10.48,28.74
33,2017,AT,cannabis,,,
34,2017,AT,cocaine,222.78,186.49,250.0
35,2018,AT,amphetamine,41.72,37.480000000000004,44.89
36,2018,AT,methamphetamine,5.08,4.77,5.289999999999999
37,2018,AT,MDMA,50.43,29.29,66.28
38,2018,AT,cannabis,268.81,272.19,266.28000000000003
39,2018,AT,cocaine,782.3,641.5699999999999,887.8399999999999
40,2019,AT,amphetamine,131.64,111.22999999999998,146.93
41,2019,AT,methamphetamine,15.39,16.03,14.919999999999998
42,2019,AT,MDMA,102.96,68.35000000000001,128.9
43,2019,AT,cannabis,457.13,481.15,439.12
44,2019,AT,cocaine,1068.43,884.23,1206.57
45,2020,AT,amphetamine,163.45,150.0,173.48999999999995
46,2020,AT,methamphetamine,33.449999999999996,33.32,33.54
47,2020,AT,MDMA,126.49000000000001,82.59,159.41
48,2020,AT,cannabis,453.74,461.94999999999993,447.61
49,2020,AT,cocaine,1638.6000000000001,1412.99,1807.8199999999997
50,2021,AT,amphetamine,146.04999999999998,142.00000000000003,149.11
51,2021,AT,methamphetamine,34.06,33.49,34.47
52,2021,AT,MDMA,54.269999999999996,37.21,67.09
53,2021,AT,cannabis,577.27,630.8100000000001,537.12
54,2021,AT,cocaine,1651.21,1409.73,1832.3500000000001
55,2011,BE,amphetamine,312.57,264.27,348.79999999999995
56,2011,BE,methamphetamine,5.46,4.75,5.99
57,2011,BE,MDMA,59.59,35.46,75.84
58,2011,BE,cannabis,0.0,0.0,0.0
59,2011,BE,cocaine,905.5,760.7099999999999,1014.0999999999999
60,2012,BE,amphetamine,300.31,299.59000000000003,300.84999999999997
61,2012,BE,methamphetamine,13.43,13.68,13.239999999999998
62,2012,BE,MDMA,97.67,75.41999999999999,114.36999999999999
63,2012,BE,cannabis,255.11,264.49,248.08
64,2012,BE,cocaine,1244.87,1124.58,1335.0900000000001
65,2013,BE,amphetamine,467.1,472.65000000000003,462.86
66,2013,BE,methamphetamine,14.11,12.690000000000001,15.18
67,2013,BE,MDMA,143.03,103.44,172.47
68,2013,BE,cannabis,375.58,362.82,384.62999999999994
69,2013,BE,cocaine,1684.0800000000002,1523.1,1803.3199999999997
70,2014,BE,amphetamine,678.1999999999999,554.6999999999999,660.73
71,2014,BE,methamphetamine,26.389999999999997,22.63,28.4
72,2014,BE,MDMA,106.97,68.39999999999999,123.42
73,2014,BE,cannabis,,,
74,2014,BE,cocaine,1176.89,952.0999999999999,1306.56
75,2015,BE,amphetamine,1002.95,987.94,1014.22
76,2015,BE,methamphetamine,30.090000000000007,31.060000000000002,29.38
77,2015,BE,MDMA,170.26,145.99999999999997,188.45000000000005
78,2015,BE,cannabis,,,
79,2015,BE,cocaine,1845.9799999999998,1668.93,1978.79
80,2016,BE,amphetamine,544.8,485.29999999999995,589.4300000000001
81,2016,BE,methamphetamine,16.52,14.580000000000002,17.96
82,2016,BE,MDMA,195.13,141.20999999999998,235.57
